skill,authority,completion_escalation,validation,delegation,reasoning,openai_workflow,reporting,provenance
agent-skills/codex/article-prompts-to-skills/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNVERIFIED,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/audit-reference-originality/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,PASS,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/audit-verify-explain-grade-5/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/browser-video-recording/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/customer-email-draft-threads/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/customer-support-verification/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,PASS,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/daily-ui-inspiration-capture/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/elevenlabs-tts/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,PASS,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/generate-reference-inspired-brand-worlds/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/html-to-interaction-prompts/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/optimize-web-animations/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/performance-profiling/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/stitched-full-page-capture/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/video-to-superprompt/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/write-like-meng-on-x/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/codex/x-bookmark-quote-posts/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/customer-support/handle-saas-account-cases/SKILL.md,UNVERIFIED,PASS,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/customer-support/handle-saas-billing-cases/SKILL.md,UNVERIFIED,PASS,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/author-game-levels/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/build-game-audio-feedback/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/build-game-camera-controls/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/build-game-inventory/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/build-hybrid-game-assets/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/build-isometric-arpg/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/build-mobile-threejs-games/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/build-threejs-enemy-systems/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/create-game-vfx/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/design-action-combat/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/design-game-encounters/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/optimize-threejs-games/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/ship-web-games/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/test-playable-web-games/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/game-development/tune-enemy-ai/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/media/aura-asset-images/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/media/unsplash-asset-images/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/ui/design-first-ui-prompting/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/agency-grid-layout-minimal/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/ambient-section-particles/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/animation-on-scroll/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/animation-systems/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/atmosphere-background/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/background-grid-webgl/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/beam-glow-states/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/beautiful-shadows/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/blue-cloudy-clean-modern/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/blue-laser-clean-glass-layout/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/book-serif-index/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/bright-green-tech-system-webgl/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/cinematic-gsap-lenis-motion-system/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/cinematic-scroll-storytelling/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/clean-minimal-beige-light-mode/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/cobejs/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/company-logos/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/container-lines/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/corner-diagonals/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/corner-lasers/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/css-alpha-masking/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/css-border-gradient/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/dark-blue-contrasting-clean/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/dark-glass-clean-layout/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/dither-background/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/dither-laser-dark-mode/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/documentary-brutalist-agency/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/editorial-portfolio-chapters/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/editorial-service-booking/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/editorial-tech/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/framed-grid-layout/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/framed-tech-dark-border-gradient/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/funky-purple-container-tech/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/glass-dark-mode-clock/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/glass-dark-ui/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/globe-gl/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/globe-particles/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
agent-skills/web-design/gooey-blob-system/SKILL.md,UNVERIFIED,UNVERIFIED,UNVERIFIED,N/A,N/A,N/A,UNVERIFIED,Static instruction scan; semantic conflicts require project-context review
